analysis_family,analysis_id,analysis_level,ci_lower,ci_upper,cluster_correction,contrast,direction,effect_estimate,episode_type,episodes,exposed,hr_subjects,independent_subjects,ischemic_subjects,landmark,method,model,multiplicity_family,n,observations,outcome,p_adjusted,p_value,reference,source,source_file,source_script,subgroup,subgroup_variable,weighting
LTST,LTST_001,episode,2.1691295764449112,11.753185459529682,,ischemic_vs_baseline,,6.961157517987297,,1060.0,,,60.0,,,,episode_delta_clustered_by_subject,exploratory_or_sensitivity,,,mean_abs_resid_ms,,0.0051371131873112,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_002,subject_equal_weight,5.056371806579607,10.949464664525967,,ischemic_vs_baseline,,7.673953181244968,,1060.0,,,60.0,,,,subject_mean_with_subject_bootstrap,three_primary_absolute_contrasts,,,mean_abs_resid_ms,0.0002999700029997,9.999000099990002e-05,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_003,episode,1.506586827251052,11.331527300881206,,ischemic_vs_baseline,,6.419057064066129,,1060.0,,,60.0,,,,episode_delta_clustered_by_subject,exploratory_or_sensitivity,,,median_abs_resid_ms,,0.0113191555147916,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_004,subject_equal_weight,4.902172545009662,10.904563681660203,,ischemic_vs_baseline,,7.584260402358639,,1060.0,,,60.0,,,,subject_mean_with_subject_bootstrap,exploratory_or_sensitivity,,,median_abs_resid_ms,,9.999000099990002e-05,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_005,episode,-8.576145365084532,3.9433886160981393,,ischemic_vs_baseline,,-2.316378374493196,,1060.0,,,60.0,,,,episode_delta_clustered_by_subject,exploratory_or_sensitivity,,,mean_signed_resid_ms,,0.4619618642722874,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_006,subject_equal_weight,-7.781117983241683,1.0930398716871672,,ischemic_vs_baseline,,-3.234800879826596,,1060.0,,,60.0,,,,subject_mean_with_subject_bootstrap,exploratory_or_sensitivity,,,mean_signed_resid_ms,,0.1741825817418258,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_007,episode,-8.533453476508964,4.539793781221213,,ischemic_vs_baseline,,-1.996829847643876,,1060.0,,,60.0,,,,episode_delta_clustered_by_subject,exploratory_or_sensitivity,,,median_signed_resid_ms,,0.5433683954928348,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_008,subject_equal_weight,-8.938367715875579,0.445932828714064,,ischemic_vs_baseline,,-4.198960613072367,,1060.0,,,60.0,,,,subject_mean_with_subject_bootstrap,exploratory_or_sensitivity,,,median_signed_resid_ms,,0.0961903809619038,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_009,episode,1.3893209227957373,6.397015974258927,,hr_vs_baseline,,3.893168448527332,,218.0,,,25.0,,,,episode_delta_clustered_by_subject,exploratory_or_sensitivity,,,mean_abs_resid_ms,,0.0037569408126671,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_010,subject_equal_weight,2.3409359429472323,6.903593117202446,,hr_vs_baseline,,4.574870151792791,,218.0,,,25.0,,,,subject_mean_with_subject_bootstrap,three_primary_absolute_contrasts,,,mean_abs_resid_ms,0.0005999400059994,0.0003999600039996,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_011,episode,0.9673006734951616,5.308094557020579,,hr_vs_baseline,,3.13769761525787,,218.0,,,25.0,,,,episode_delta_clustered_by_subject,exploratory_or_sensitivity,,,median_abs_resid_ms,,0.006450039980101,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_012,subject_equal_weight,1.3596530322295233,5.364074821191628,,hr_vs_baseline,,3.3546406309048624,,218.0,,,25.0,,,,subject_mean_with_subject_bootstrap,exploratory_or_sensitivity,,,median_abs_resid_ms,,0.0021997800219978,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_013,episode,-5.776138129564959,1.032404769983296,,hr_vs_baseline,,-2.3718666797908314,,218.0,,,25.0,,,,episode_delta_clustered_by_subject,exploratory_or_sensitivity,,,mean_signed_resid_ms,,0.1633507945954803,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_014,subject_equal_weight,-7.384296435861251,-0.1430182507427666,,hr_vs_baseline,,-3.5563612861172413,,218.0,,,25.0,,,,subject_mean_with_subject_bootstrap,exploratory_or_sensitivity,,,mean_signed_resid_ms,,0.0606939306069393,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_015,episode,-5.6465489711072685,1.392453487751681,,hr_vs_baseline,,-2.127047741677794,,218.0,,,25.0,,,,episode_delta_clustered_by_subject,exploratory_or_sensitivity,,,median_signed_resid_ms,,0.2243081976065209,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_016,subject_equal_weight,-6.951772490024912,-0.0398577589154708,,hr_vs_baseline,,-3.364876889294357,,218.0,,,25.0,,,,subject_mean_with_subject_bootstrap,exploratory_or_sensitivity,,,median_signed_resid_ms,,0.0683931606839316,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_017,episode,-2.901555340204804,14.152270571944468,,ischemic_vs_hr,,5.625357615869832,,1278.0,,,76.0,,,,episode_ols_clustered_by_subject,exploratory_or_sensitivity,,,mean_abs_resid_ms,,0.1927755965343695,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_018,subject_equal_weight,-0.7321167688476606,10.46316606447467,,ischemic_vs_hr,,4.865524647813505,,,,25.0,76.0,60.0,,,welch_between_subject,three_primary_absolute_contrasts,,,mean_abs_resid_ms,0.0872143506850243,0.0872143506850243,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_019,within_subject,-9.27123162311706,5.636610757252136,,ischemic_vs_hr,,-1.3573344711726694,,,,,9.0,,,,paired_subject_mean_with_bootstrap,exploratory_or_sensitivity,,,mean_abs_resid_ms,,0.77002299770023,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_020,episode,-2.173317987938112,13.279529607209604,,ischemic_vs_hr,,5.5531058096357455,,1278.0,,,76.0,,,,episode_ols_clustered_by_subject,exploratory_or_sensitivity,,,median_abs_resid_ms,,0.1563679678027328,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_021,subject_equal_weight,0.2359265172015279,10.629608338740413,,ischemic_vs_hr,,5.432767427970969,,,,25.0,76.0,60.0,,,welch_between_subject,exploratory_or_sensitivity,,,median_abs_resid_ms,,0.0407377838383173,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_022,within_subject,-6.186185811333587,5.761215130197799,,ischemic_vs_hr,,-0.2689537750956927,,,,,9.0,,,,paired_subject_mean_with_bootstrap,exploratory_or_sensitivity,,,median_abs_resid_ms,,0.960903909609039,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_023,episode,-7.261948569145661,10.17862490646682,,ischemic_vs_hr,,1.4583381686605796,,1278.0,,,76.0,,,,episode_ols_clustered_by_subject,exploratory_or_sensitivity,,,mean_signed_resid_ms,,0.7399510177183621,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_024,subject_equal_weight,-7.890504527682123,7.081381590382869,,ischemic_vs_hr,,-0.4045614686496268,,,,25.0,76.0,60.0,,,welch_between_subject,exploratory_or_sensitivity,,,mean_signed_resid_ms,,0.914519510212622,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_025,within_subject,-8.115594962452565,7.359361230333387,,ischemic_vs_hr,,-1.2741740418349872,,,,,9.0,,,,paired_subject_mean_with_bootstrap,exploratory_or_sensitivity,,,mean_signed_resid_ms,,0.8153184681531847,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_026,episode,-7.085702830723023,10.541782139017716,,ischemic_vs_hr,,1.7280396541473462,,1278.0,,,76.0,,,,episode_ols_clustered_by_subject,exploratory_or_sensitivity,,,median_signed_resid_ms,,0.6972182697742156,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_episode
LTST,LTST_027,subject_equal_weight,-8.563127005469418,6.459842227661679,,ischemic_vs_hr,,-1.0516423889038693,,,,25.0,76.0,60.0,,,welch_between_subject,exploratory_or_sensitivity,,,median_signed_resid_ms,,0.7810333260565585,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_028,within_subject,-8.089133063136392,3.672285126231817,,ischemic_vs_hr,,-2.251727369589353,,,,,9.0,,,,paired_subject_mean_with_bootstrap,exploratory_or_sensitivity,,,median_signed_resid_ms,,0.5085491450854914,,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,equal_subject
LTST,LTST_029,beat,-6.326950844261264,6.717818057725037,CR1; t reference with G-1 df,ischemic_vs_hr,,0.1954336067318863,,,ischemic,,76.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,1299179.0,abs_resid_ms,,0.9525609866604188,rate_related,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,unweighted
LTST,LTST_030,beat,-5.955659424384461,5.909366250997101,CR1; t reference with G-1 df,ischemic_vs_hr,,-0.02314658669368,,,ischemic,,76.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,1299179.0,abs_resid_ms,,0.9938191543214802,rate_related,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,inverse_qt_variance
LTST,LTST_031,beat,-9.983766629530068,10.347524929602937,CR1; t reference with G-1 df,ischemic_vs_hr,,0.1818791500364342,,,ischemic,,76.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,1299179.0,resid_ms,,0.9716626759331254,rate_related,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,unweighted
LTST,LTST_032,beat,-10.38025357502899,7.809402743039581,CR1; t reference with G-1 df,ischemic_vs_hr,,-1.2854254159947045,,,ischemic,,76.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,1299179.0,resid_ms,,0.7790597674978252,rate_related,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,inverse_qt_variance
LTST,LTST_033,beat,4.241733404258029,10.074558201685011,CR1; t reference with G-1 df,ischemic_vs_baseline,,7.15814580297152,,,ischemic,,60.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,1921348.0,abs_resid_ms,,7.516477093713767e-06,matched_baseline,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,unweighted
LTST,LTST_034,beat,4.149947909812266,8.30636902191107,CR1; t reference with G-1 df,ischemic_vs_baseline,,6.228158465861668,,,ischemic,,60.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,1921348.0,abs_resid_ms,,1.3093831325811058e-07,matched_baseline,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,inverse_qt_variance
LTST,LTST_035,beat,-10.3591478878776,5.348874584122083,CR1; t reference with G-1 df,ischemic_vs_baseline,,-2.505136651877759,,,ischemic,,60.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,1921348.0,resid_ms,,0.5257852528279151,matched_baseline,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,unweighted
LTST,LTST_036,beat,-10.062423587653347,2.574539148318332,CR1; t reference with G-1 df,ischemic_vs_baseline,,-3.7439422196675074,,,ischemic,,60.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,1921348.0,resid_ms,,0.2405073864942119,matched_baseline,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,inverse_qt_variance
LTST,LTST_037,beat,3.434498752450144,7.500798099495677,CR1; t reference with G-1 df,hr_vs_baseline,,5.467648425972911,,,rate_related,,25.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,505951.0,abs_resid_ms,,1.0393476562868183e-05,matched_baseline,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,unweighted
LTST,LTST_038,beat,3.0049923907974585,7.053561164410436,CR1; t reference with G-1 df,hr_vs_baseline,,5.029276777603947,,,rate_related,,25.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,505951.0,abs_resid_ms,,3.008745783568145e-05,matched_baseline,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,inverse_qt_variance
LTST,LTST_039,beat,-5.987110536744774,2.139203648031522,CR1; t reference with G-1 df,hr_vs_baseline,,-1.9239534443566264,,,rate_related,,25.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,505951.0,resid_ms,,0.3381789964912559,matched_baseline,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,unweighted
LTST,LTST_040,beat,-6.087826894631788,2.192266726037748,CR1; t reference with G-1 df,hr_vs_baseline,,-1.94778008429702,,,rate_related,,25.0,,,,cluster_robust_wls,exploratory_or_sensitivity,,505951.0,resid_ms,,0.3412291419397453,matched_baseline,,revision_work/analysis/hierarchical_effects.csv,src/revision_statistics.py,,,inverse_qt_variance
LTST subgroup,hr_episode_vs_baseline,,2.998215629201801,9.682615729149417,,,,6.197453663178066,,58.0,,,9.0,,,,,,,,mean_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,any_raw_ischemic_episode,raw_ischemic_overlap,
LTST subgroup,hr_episode_vs_baseline,,0.778029449001099,6.668798093214522,,,,3.662166926638573,,160.0,,,16.0,,,,,,,,mean_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,no_annotated_ischemic_episode,raw_ischemic_overlap,
LTST subgroup,episode_state_x_raw_ischemic_overlap,,-2.4983183739667187,7.568891847045705,,,,2.535286736539493,,218.0,,,25.0,,,,,,,,mean_abs_resid_ms,,0.3048563478538302,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,difference_in_hr_episode_effect,interaction,
LTST subgroup,hr_episode_vs_baseline,,2.998215629201801,9.682615729149417,,,,6.197453663178066,,58.0,,,9.0,,,,,,,,mean_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,any_retained_ischemic_episode,retained_ischemic_overlap,
LTST subgroup,hr_episode_vs_baseline,,0.778029449001099,6.668798093214522,,,,3.662166926638573,,160.0,,,16.0,,,,,,,,mean_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,no_annotated_ischemic_episode,retained_ischemic_overlap,
LTST subgroup,episode_state_x_retained_ischemic_overlap,,-2.4983183739667187,7.568891847045705,,,,2.535286736539493,,218.0,,,25.0,,,,,,,,mean_abs_resid_ms,,0.3048563478538302,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,difference_in_hr_episode_effect,interaction,
LTST subgroup,hr_episode_vs_baseline_exploratory_clinical,,5.464096975377493,12.074412172789849,,,,8.739458407947122,,35.0,,,8.0,,,,,,,,mean_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,documented_present,coronary_disease_status,
LTST subgroup,hr_episode_vs_baseline_exploratory_clinical,,-1.8315979168865653,3.03143960943034,,,,0.3762821357293656,,83.0,,,8.0,,,,,,,,mean_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,explicitly_documented_absent,coronary_disease_status,
LTST subgroup,hr_episode_vs_baseline_exploratory_clinical,,1.0000979351326624,8.379988204301892,,,,4.605092160600873,,100.0,,,9.0,,,,,,,,mean_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,unknown_or_insufficient,coronary_disease_status,
LTST subgroup,hr_episode_vs_baseline,,2.48070086583054,6.577701765559214,,,,4.53480109453053,,58.0,,,9.0,,,,,,,,median_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,any_raw_ischemic_episode,raw_ischemic_overlap,
LTST subgroup,hr_episode_vs_baseline,,-0.1825390007985524,5.634040293327373,,,,2.690800370115425,,160.0,,,16.0,,,,,,,,median_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,no_annotated_ischemic_episode,raw_ischemic_overlap,
LTST subgroup,episode_state_x_raw_ischemic_overlap,,-2.09294126480928,5.78094271363949,,,,1.844000724415105,,218.0,,,25.0,,,,,,,,median_abs_resid_ms,,0.3426614607661986,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,difference_in_hr_episode_effect,interaction,
LTST subgroup,hr_episode_vs_baseline,,2.48070086583054,6.577701765559214,,,,4.53480109453053,,58.0,,,9.0,,,,,,,,median_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,any_retained_ischemic_episode,retained_ischemic_overlap,
LTST subgroup,hr_episode_vs_baseline,,-0.1825390007985524,5.634040293327373,,,,2.690800370115425,,160.0,,,16.0,,,,,,,,median_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,no_annotated_ischemic_episode,retained_ischemic_overlap,
LTST subgroup,episode_state_x_retained_ischemic_overlap,,-2.09294126480928,5.78094271363949,,,,1.844000724415105,,218.0,,,25.0,,,,,,,,median_abs_resid_ms,,0.3426614607661986,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,difference_in_hr_episode_effect,interaction,
LTST subgroup,hr_episode_vs_baseline_exploratory_clinical,,3.896645463096624,9.542424804889464,,,,6.682199365015189,,35.0,,,8.0,,,,,,,,median_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,documented_present,coronary_disease_status,
LTST subgroup,hr_episode_vs_baseline_exploratory_clinical,,-2.672518020248376,2.391436219886128,,,,-0.2792578540868291,,83.0,,,8.0,,,,,,,,median_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,explicitly_documented_absent,coronary_disease_status,
LTST subgroup,hr_episode_vs_baseline_exploratory_clinical,,0.2398517016345497,6.94257578967875,,,,3.626942631688297,,100.0,,,9.0,,,,,,,,median_abs_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,unknown_or_insufficient,coronary_disease_status,
LTST subgroup,hr_episode_vs_baseline,,-7.386876300467698,-1.7311835688770807,,,,-4.723394861300668,,58.0,,,9.0,,,,,,,,mean_signed_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,any_raw_ischemic_episode,raw_ischemic_overlap,
LTST subgroup,hr_episode_vs_baseline,,-8.657245882356415,2.0384696937518645,,,,-2.899904900076564,,160.0,,,16.0,,,,,,,,mean_signed_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,no_annotated_ischemic_episode,raw_ischemic_overlap,
LTST subgroup,episode_state_x_raw_ischemic_overlap,,-8.521091978645147,4.874112056196939,,,,-1.823489961224104,,218.0,,,25.0,,,,,,,,mean_signed_resid_ms,,0.5777505323735742,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,difference_in_hr_episode_effect,interaction,
LTST subgroup,hr_episode_vs_baseline,,-7.386876300467698,-1.7311835688770807,,,,-4.723394861300668,,58.0,,,9.0,,,,,,,,mean_signed_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,any_retained_ischemic_episode,retained_ischemic_overlap,
LTST subgroup,hr_episode_vs_baseline,,-8.657245882356415,2.0384696937518645,,,,-2.899904900076564,,160.0,,,16.0,,,,,,,,mean_signed_resid_ms,,,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,no_annotated_ischemic_episode,retained_ischemic_overlap,
LTST subgroup,episode_state_x_retained_ischemic_overlap,,-8.521091978645147,4.874112056196939,,,,-1.823489961224104,,218.0,,,25.0,,,,,,,,mean_signed_resid_ms,,0.5777505323735742,,,revision_work/analysis/subgroup_effects.csv,src/revision_subgroups.py,difference_in_hr_episode_effect,interaction,
